company,location,certification,datacenter
Centro de Tecnologia Armazém Datacenter Ltda,"Joinville, Brazil",Tier III Certification of Constructed Facility,Centro de Tecnologia Armazém Datacenter Ltda
"Centro Nacional de Supercómputo, CNS-IPICYT","San Luis Potosí, Mexico",Tier III Certification of Design Documents,"Centro Nacional de Supercómputo, CNS-IPICYT"
CenturyLink Chile S.A.,"Santiago, Chile",Tier III Certification of Design Documents,CenturyLink Chile S.A.
CenturyLink Colombia S.A.S,"Bogotá, Colombia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,CenturyLink Colombia S.A.S
CenturyLink Colombia S.A.S,"Bogotá, Colombia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,CenturyLink Colombia S.A.S
CenturyLink Comunicações do Brasil Ltda.,"São Paulo, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,CenturyLink Comunicações do Brasil Ltda.
CenturyLink Comunicações do Brasil Ltda.,"Rio de Janeiro, Brazil",Tier III Certification of Design Documents,CenturyLink Comunicações do Brasil Ltda.
CenturyLink Comunicações do Brasil Ltda.,"Rio de Janeiro , Brazil",Tier III Certification of Design Documents,CenturyLink Comunicações do Brasil Ltda.
CenturyLink Comunicações do Brasil Ltda.,"Cotia, Brazil",Tier III Certification of Design Documents,CenturyLink Comunicações do Brasil Ltda.
CenturyLink Ecuador S.A.,"Quito, Ecuador",Tier III Certification of Design Documents,CenturyLink Ecuador S.A.
CenturyLink Perú S.A.,"Lima, Peru",Tier III Certification of Design Documents,CenturyLink Perú S.A.
CGI,"Mississauga Ontario, Canada",Tier III Certification of Design Documents,CGI
CGI,"Montreal Quebec, Canada",Tier III Certification of Design Documents,CGI
"Chengdu Hotwon Huasheng Network Co., Ltd.","Chengdu, China",M&O Stamp Of Approval,"Chengdu Hotwon Huasheng Network Co., Ltd."
"Chengdu Insigma Jwell Cloud Data Technology Co., Ltd.","Chengdu, China",Tier III Certification of Design Documents,"Chengdu Insigma Jwell Cloud Data Technology Co., Ltd."
Chesapeake Energy,"Oklahoma City Oklahoma, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Chesapeake Energy
China Electronics Cloud Technology Company,"Beijing, China",Tier IV Certification of Design Documents,China Electronics Cloud Technology Company
China Life,"Beijing Beijing, China",Tier IV Certification of Design Documents,China Life
China Life,"Shanghai, China",M&O Stamp Of Approval,China Life
China Merchants Bank,"Shanghai, China",M&O Stamp Of Approval,China Merchants Bank
China Merchants Bank,"Shenzhen, China",M&O Stamp Of Approval,China Merchants Bank
China Merchants Bank,"Shenzhen, China",Tier IV Certification of Design Documents,China Merchants Bank
China Minsheng Banking Corporation,"Beijing, China",M&O Stamp Of Approval,China Minsheng Banking Corporation
China Minsheng Banking Corporation,"Beijing, China",Tier IV Certification of Design Documents,China Minsheng Banking Corporation
China Mobile & Baidu,"Beijing, China",M&O Stamp Of Approval,China Mobile & Baidu
China Mobile Communication Group Tianjin Branch,"Tianjin, China",Tier III Certification of Design Documents,China Mobile Communication Group Tianjin Branch
China Mobile Communications Group Gansu Branch,"Lanzhou City, China",Tier III Certification of Design Documents,China Mobile Communications Group Gansu Branch
China Mobile Communications Group Hebei Branch,"Baoding, China",Tier III Certification of Design Documents,China Mobile Communications Group Hebei Branch
China Mobile Communications Group Hebei Branch,"Shijiazhuang, China",Tier III Certification of Design Documents,China Mobile Communications Group Hebei Branch
China Mobile Communications Group Hebei Branch,"Langfang, China",Tier III Certification of Design Documents,China Mobile Communications Group Hebei Branch
"China Mobile Group Guizhou Co., Ltd","Gui'an New Area, China",M&O Stamp Of Approval,"China Mobile Group Guizhou Co., Ltd"
"China Mobile Group Heilongjiang Co., Ltd.","Harbin, China",M&O Stamp Of Approval,"China Mobile Group Heilongjiang Co., Ltd."
"China Mobile Group Heilongjiang Co., Ltd.","Harbin, China",M&O Stamp Of Approval,"China Mobile Group Heilongjiang Co., Ltd."
China Mobile International,"Mörfelden, Germany",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,China Mobile International
China Mobile International,"Hong Kong, Hong Kong",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,China Mobile International
China Mobile International,"London Slough, United Kingdom",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Silver Certification of Operational Sustainability,China Mobile International
China Mobile International,"Singapore, Singapore",Tier III Certification of Constructed Facility,China Mobile International
China Mobile International,"Singapore, Singapore",Tier III Certification of Design Documents,China Mobile International
China National Petroleum Corporation (CNPC),"Karamay Xinjiang, China",Tier IV Certification of Design Documents,China National Petroleum Corporation (CNPC)
China Shaanxi Unicom,"Xi'an Shaanxi, China",Tier III Certification of Design Documents,China Shaanxi Unicom
China Sports Lottery Administration Center,"Beijing, China",M&O Stamp Of Approval,China Sports Lottery Administration Center
China Sports Lottery Technology Group,"Beijing, China",M&O Stamp Of Approval,China Sports Lottery Technology Group
CHINA TAIPING,"Wuhan, China",M&O Stamp Of Approval,CHINA TAIPING
China Telecom Anhui Branch,"Hefei, China",M&O Stamp Of Approval,China Telecom Anhui Branch
China Telecom Anhui Branch,"Hefei Anhui, China",M&O Stamp Of Approval,China Telecom Anhui Branch
China Telecom Beijing Branch,"Beijing, China",M&O Stamp Of Approval,China Telecom Beijing Branch
"China Telecom Corp., Ltd.","Huhhot, China",M&O Stamp Of Approval,"China Telecom Corp., Ltd."
"China Telecom Corp., Ltd.","Guizhou, China",M&O Stamp Of Approval,"China Telecom Corp., Ltd."
China Telecom Corporation Limited Shanghai Branch,"Shanghai, China",M&O Stamp Of Approval,China Telecom Corporation Limited Shanghai Branch
China Telecom Corporation Limited Shanghai Branch,"Shanghai, China",Tier IV Certification of Design Documents,China Telecom Corporation Limited Shanghai Branch
China Telecom Corporation Limited Shanghai Branch,"Shanghai, China",M&O Stamp Of Approval,China Telecom Corporation Limited Shanghai Branch
China Telecom Corporation Limited Shanghai Branch,"Shanghai, China",M&O Stamp Of Approval,China Telecom Corporation Limited Shanghai Branch
China Telecom Fujian Branch,"Fuzhou, China",M&O Stamp Of Approval,China Telecom Fujian Branch
China Telecom Jiangsu Branch,"Suzhou, China",M&O Stamp Of Approval,China Telecom Jiangsu Branch
China Telecom Jiangsu Branch,"Nanjing, China",M&O Stamp Of Approval,China Telecom Jiangsu Branch
China Telecom Shanghai Branch,"Shanghai, China",M&O Stamp Of Approval,China Telecom Shanghai Branch
China Telecom Wuxi Branch,"Wuxi, China",Tier IV Certification of Design Documents,China Telecom Wuxi Branch
"China Transport Telecommunications and Information Center Shanghai Co., Ltd.","Shanghai, China",Tier III Certification of Design Documents,"China Transport Telecommunications and Information Center Shanghai Co., Ltd."
China Unicom Global Limited,"Hong Kong, China",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,China Unicom Global Limited
China Unicom Shanghai Branch,"Shanghai, China",Tier III Certification of Design DocumentsM&O Stamp Of Approval,China Unicom Shanghai Branch
China Welfare Lottery,"Beijing, China",M&O Stamp Of Approval,China Welfare Lottery
"ChinaCache Xin Run Technology Co., Limited","Beijing, China",Tier III Certification of Design Documents,"ChinaCache Xin Run Technology Co., Limited"
"Chindata Co., Ltd.","Huailai, China",M&O Stamp Of Approval,"Chindata Co., Ltd."
"Chindata Co., Ltd.","Shanghai, China",Tier IV Certification of Design Documents,"Chindata Co., Ltd."
Chunghwa Telecom Data Communication Business Group,"New Taipei City, Taiwan",M&O Stamp Of Approval,Chunghwa Telecom Data Communication Business Group
CIMB Bank Berhad,"Bangi Selangor Darul Ehsan, Malaysia",Tier III Certification of Design Documents,CIMB Bank Berhad
CITIC Telecom International,Hong Kong,Tier III Certification of Design Documents,CITIC Telecom International
Claro Chile,"Santiago, Chile",Tier IV Certification of Design Documents,Claro Chile
Claro Chile,"Santiago, Chile",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Claro Chile
"Cloud Engine (Shenzhen) Network Technology Co., Ltd.","Shenzhen, China",Tier III Certification of Design Documents,"Cloud Engine (Shenzhen) Network Technology Co., Ltd."
Cloud Exchange West Africa Limited,"Lagos, Nigeria",Tier IV Certification of Design Documents,Cloud Exchange West Africa Limited
Cloudlayer8 Limited,"Limassol, Cyprus",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Cloudlayer8 Limited
Cluster Power,"Mischii, Romania",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Cluster Power
CMC Telecom,"Ho Chi Minh City, Vietnam",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,CMC Telecom
CODEMIG,"Belo Horizante MG, Brazil",Tier III Certification of Design Documents,CODEMIG
CODEMIG,"Belo Horizonte MG, Brazil",Tier III Certification of Design Documents,CODEMIG
Cogeco Data Services Inc.,"Barrie Ontario, Canada",Tier III Certification of Design Documents,Cogeco Data Services Inc.
COLO-D inc.,"Drummondville Quebec, Canada",Tier III Certification of Design Documents,COLO-D inc.
COLO-D inc.,"Drummondville Quebec, Canada",Tier III Certification of Design Documents,COLO-D inc.
"Cologix, Inc.","Minneapolis Minnesota, United States",Tier III Certification of Design Documents,"Cologix, Inc."
"Cologix, Inc.","Columbus Ohio, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"Cologix, Inc."
Colombia Telecomunicaciones,"Bogotá, Colombia",Tier III Certification of Design Documents,Colombia Telecomunicaciones
Colt Data Centre Services,"Inzai, Japan",M&O Stamp Of Approval,Colt Data Centre Services
Colt Data Centre Services,"Welwyn Garden City, United Kingdom",M&O Stamp Of Approval,Colt Data Centre Services
Colt Technology Services,"London, United Kingdom",M&O Stamp Of Approval,Colt Technology Services
Colt Technology Services,"Roosendaal, Netherlands",M&O Stamp Of Approval,Colt Technology Services
Colt Technology Services,"London, United Kingdom",Tier III Certification of Design Documents,Colt Technology Services
Combell LLC,"Moscow, Russia",Tier III Certification of Design Documents,Combell LLC
Comision Nacional Bancaria y de Valores,"Mexico City Mexico City, Mexico",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Comision Nacional Bancaria y de Valores
Commercial Bank of Ethiopia (CBE),"Debre Berhan, Ethiopia",Tier IV Certification of Design Documents,Commercial Bank of Ethiopia (CBE)
Commercial International Bank (Egypt) S.A.E,"Giza, Egypt",M&O Stamp Of ApprovalTier III Certification of Design Documents,Commercial International Bank (Egypt) S.A.E
Communications and Information Technology Commission,"Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Communications and Information Technology Commission
Communications and Information Technology Commission,"Jeddah, Saudi Arabia",Tier II Certification of Design Documents,Communications and Information Technology Commission
"Compania Dominicana de Telefonos, C. por A. (Claro Dom)","Santo Domingo Oeste Santo Domingo, Dominican Republic",Tier II Certification of Design DocumentsTier II Certification of Constructed Facility,"Compania Dominicana de Telefonos, C. por A. (Claro Dom)"
Compass Datacenters,"New Albany OH, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Compass Datacenters
Compass Datacenters,"Minneapolis Minnesota, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Compass Datacenters
Compass Datacenters,"Allen Texas, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Compass Datacenters
Compass Datacenters,"Franklin Tennessee, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Compass Datacenters
Compass Datacenters,"Tulsa Oklahoma, United States",Tier III Certification of Constructed Facility,Compass Datacenters
Compass Datacenters,"Groveport Ohio, United States",Tier III Certification of Constructed Facility,Compass Datacenters
Compass Datacenters,"Dallas Texas, United States",Tier III Certification of Constructed Facility,Compass Datacenters
Compass Datacenters,"Raleigh North Carolina, United States",Tier III Certification of Design Documents,Compass Datacenters
Compass Datacenters,"Nashville Tennessee, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Compass Datacenters
Compass Datacenters,"Boston Massachusetts, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Compass Datacenters
Conecel S.A.,"Guayaquil, Ecuador",Tier III Certification of Design Documents,Conecel S.A.
Conecel S.A.,"Quito, Ecuador",Tier III Certification of Design Documents,Conecel S.A.
Coordinador Eléctrico Nacional,"Santiago, Chile",Tier III Certification of Design Documents,Coordinador Eléctrico Nacional
Coordinador Eléctrico Nacional,"Santiago, Chile",Tier III Certification of Constructed Facility,Coordinador Eléctrico Nacional
Corporación Nacional de Telecomunicaciones CNT E.P,"Guayaquil Guayas, Ecuador",Tier III Certification of Design Documents,Corporación Nacional de Telecomunicaciones CNT E.P
Corporación Nacional de Telecomunicaciones CNT E.P,"Guayaquil Guayas, Ecuador",Tier III Certification of Constructed Facility,Corporación Nacional de Telecomunicaciones CNT E.P
Corporación Nacional de Telecomunicaciones CNT E.P,"Quito Pichincha, Ecuador",Tier III Certification of Design Documents,Corporación Nacional de Telecomunicaciones CNT E.P
Corporación Nacional de Telecomunicaciones CNT E.P,"Quito Pichincha, Ecuador",Tier III Certification of Constructed Facility,Corporación Nacional de Telecomunicaciones CNT E.P
Cotel SA,"Bogota, Colombia",Tier IV Certification of Design Documents,Cotel SA
Cotel SA,"Bogota, Colombia",Tier IV Certification of Constructed Facility,Cotel SA
Crédit Agricole,"Mainvilliers, France",Tier IV Certification of Design Documents,Crédit Agricole
Crédit Agricole du Maroc,"Rabat, Morocco",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Crédit Agricole du Maroc
