company,location,certification,datacenter
BM&F BOVESPA S.A.,"Sao Paulo, Brazil",Tier III Certification of Design Documents,BM&F BOVESPA S.A.
BMO Financial Group,"Barrie Ontario, Canada",Tier IV Certification of Constructed Facility,BMO Financial Group
BNK BusanBank,"Busan, Korea, South",Tier III Certification of Design Documents,BNK BusanBank
Botswana Fibre Networks Proprietary Limited,"Gaborone, Botswana",Tier III Certification of Design Documents,Botswana Fibre Networks Proprietary Limited
Botswana Innovation Hub,"Gaborone, Botswana",Tier IV Certification of Design Documents,Botswana Innovation Hub
Botswana Telecommunications Corporation Limited (BTC),"Gaborone, Botswana",Tier II Certification of Design DocumentsTier II Certification of Constructed Facility,Botswana Telecommunications Corporation Limited (BTC)
Boubyan Bank,"Ardiya , Kuwait",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Boubyan Bank
BrainServe Ltd,"Lausanne, Switzerland",Tier IV Certification of Design Documents,BrainServe Ltd
Bridgestone Americas,"Akron Ohio, United States",M&O Stamp Of Approval,Bridgestone Americas
brightsolid online technology Ltd,"Aberdeen, United Kingdom",Tier III Certification of Design Documents,brightsolid online technology Ltd
BSES Rajdhani Power Ltd,"South Delhi New Delhi, India",Tier III Certification of Design Documents,BSES Rajdhani Power Ltd
BSNL - Dimension Data,"Ludhiana Punjab, India",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,BSNL - Dimension Data
BSNL - Dimension Data,"Faridabad Haryana, India",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,BSNL - Dimension Data
BSNL - Dimension Data,"Ahmedabad Gujarat, India",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,BSNL - Dimension Data
BSNL - Dimension Data,"Ghaziabad Uttar Pradesh, India",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,BSNL - Dimension Data
BSNL - Dimension Data,"Jaipur Rajasthan, India",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,BSNL - Dimension Data
BSNL - Dimension Data,"Mumbai Maharashtra, India",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,BSNL - Dimension Data
BT Brasil,"HortoLandia Sao Paulo, Brazil",Tier III Certification of Design Documents,BT Brasil
Bupa Arabia,"Jeddah, Saudi Arabia",Tier II Certification of Design Documents,Bupa Arabia
Bursa Buyuksehir Belediyesi,"Bursa, Turkey",Tier III Certification of Design Documents,Bursa Buyuksehir Belediyesi
